property_name,location,bedrooms,bathrooms,price,size,price_per_sqm
BOUSHER | BRAND-NEW 3 BR VILLAS WITH POOL,"Bosher, Muscat•",4,4.0,850.0,300.0,2.8333333333333335
one room in alkuwair free wifi,"Al Khuwair, Muscat•",1,1.0,130.0,30.0,4.333333333333333
GHUBRA  WELL MAINTAINED 2BHK APARTMENT - FREE WIFI,"Al Ghubrah, Muscat•",2,2.0,250.0,100.0,2.5
ADA056*3BHK apartement for rent in khuwair Jasmine complex,"Al Khuwair, Muscat•",4,4.0,550.0,120.0,4.583333333333333
Murooj Al Zain – Salalah’s Hidden Gem,"Salalah, Dhofar•",3,3.0,80.0,90.0,0.8888888888888888
MADINAT AL ILAM | SPACIOUS 5+1 BR COMPOUND VILLA,"Madinat As Sultan Qaboos, Muscat•",6,6.0,900.0,500.0,1.8
BRAND NEW LUXURIOUS 5+1 BR VILLAS IN MADINAT QABOOS,"Madinat As Sultan Qaboos, Muscat•",7,7.0,1700.0,500.0,3.4
5+1  BR Spacious Modern Villa in Qurum,"Qurum, Muscat•",7,7.0,1250.0,499.0,2.50501002004008
A Premium Villa in a Gated Community in Madinat Sultan Qaboos,"Madinat As Sultan Qaboos, Muscat•",5,5.0,725.0,360.0,2.013888888888889
"ADC2808* 500 SQM Offices for rent in Ghubra north , 18 november street","Al Ghubrah, Muscat•",2,,2500.0,500.0,5.0
3bhk in wadi kabir with free WiFi (B656),"Al Wadi Al Kabir, Muscat•",2,2.0,220.0,105.0,2.0952380952380953
*ADV707** 4+1BHK Villa for Rent in Bousher –Al Muna,"Bosher, Muscat•",5,5.0,600.0,310.0,1.935483870967742
"Office for Rent in Business Tower 1 , Muscat Hills","Muscat Hills, Muscat•",2,,1150.0,161.0,7.142857142857143
للايجار فيلا في بوشر هايتس - المنى,"Bosher, Muscat•",10,10.0,2500.0,1350.0,1.8518518518518519
Spacious Branded apartment with direct beach access,"The Wave (Almouj), Muscat•",3,3.0,1700.0,195.0,8.717948717948717
Fully Furnished 1BHK Apartment at St Regis,"The Wave (Almouj), Muscat•",2,2.0,1350.0,143.0,9.44055944055944
villa for Rent,"Al Mawaleh, Muscat•",8,8.0,700.0,450.0,1.5555555555555556
6 BR Stunning Villa in Bousher with Shared Pool,"Bosher, Muscat•",7,7.0,650.0,400.0,1.625
Prime Open Land & Yard for Rent in Jifnain,"Muscat - Other, Muscat•",2,,8000.0,10000.0,0.8
AL QURUM | PALATIAL 5+2 BR VILLA FOR RENT,"Qurum, Muscat•",8,8.0,2399.0,599.0,4.005008347245409
AL MOUJ | MARINA AND SEA VIEW 2 BHK APARTMENT IN JUMAN 2,"The Wave (Almouj), Muscat•",2,2.0,1299.0,115.0,11.295652173913043
AL MOUJ | BEAUTIFUL 2 BHK POOL VIEW APARTMENT FOR RENT,"The Wave (Almouj), Muscat•",2,2.0,750.0,105.0,7.142857142857143
AL MOUJ | GORGEOUS 2+2 BHK MARINA VIEW APARTMENT FOR RENT,"The Wave (Almouj), Muscat•",4,4.0,1199.0,135.0,8.881481481481481
