property_name,location,bedrooms,bathrooms,price,size
3 BEDROOM TWIN-VILLA IN (BOSHER),Bausher,6,6,600,300.0
OFFICE SPACE,Ghala,2,,550,155.3
COMMERCIAL SHOWROOM,Bausher,2,,3000,120.0
3+1 STANDALONE VILLA,Madinat Qaboos (MQ),3,3,750,120.0
2+1 BEDROOM APARTMENT,Al Mouj,3,3,700,120.0
OFFICE SPACE,Al Khuwair,2,,350,120.0
1-BEDROOM APARTMENT,Azaiba,2,2,33000,120.0
2-BEDROOM APARTMENT,Al Khuwair,2,2,250,120.0
3+1 BEDROOM VILLA,nan,4,4,600,120.0
5-BEDROOM STANDALONE VILLA,Shatti Al Qurum,5,5,1700,120.0
5-BEDROOM DETACHED VILLA,Shatti Al Qurum,6,6,5000,120.0
OFFICE SPACE,Al Ghoubrah,2,,650,120.0
COMMERCIAL SHOWROOM,Azaiba,2,,1350,120.0
2-BEDROOM APARTMENT,Qurum,3,3,500,120.0
4-BEDROOM VILLA,Qurum,4,4,550,120.0
5-BEDROOM DETACHED VILLA,Shatti Al Qurum,6,6,2000,120.0
2-BEDROOM COMPOUND VILLA,Shatti Al Qurum,3,3,375,120.0
FURNISHED STUDIO APARTMENT,Salalah,1,1,300,120.0
3+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,4,4,550,120.0
4+1 TOWNHOUSE,Qurum,5,5,750,120.0
6+1 BEDROOM VILLA,Shatti Al Qurum,7,7,1000,120.0
2-3 BEDROOM APARTMENT,Ruwi,2,2,180,120.0
2-BEDROOM APARTMENT,Ruwi,2,2,200,120.0
2-3 BEDROOM APARTMENT,Ruwi,3,3,200,120.0
2-3 BEDROOM APARTMENT,Ruwi,2,,200,120.0
COMMERCIAL OFFICE SPACE,Shatti Al Qurum,2,,6,120.0
2 BEDROOM APARTMENT,Al Khuwair,3,3,400,120.0
75 & 55 SQM OFFICES,Ghala,2,,7,75.0
COMMERCIAL OFFICES,Ghala,7,7,150,17.5
COMMERCIAL SHOPS,Ghala,2,,250,120.0
8 BEDROOM DETACHED VILLA,Ruwi,9,9,2800,120.0
TWO FLOORS SHOWROOM,Ruwi,2,,4500,120.0
SHOP AVAILABLE,Shatti Al Qurum,2,,1700,120.0
OFFICE SPACE,Shatti Al Qurum,2,,600,120.0
2 BEDROOM APARTMENT,Shatti Al Qurum,3,3,500,120.0
4 BEDROOM APARTMENT,Mutrah,3,3,200,120.0
3 BEDROOM TOWNHOUSE,Qurum,4,4,145000,120.0
2 COMMERCIAL SHOPS,Al Ghoubrah,2,,7,120.0
5 BEDROOM DETACHED VILLA,Al Hail,9,9,900,120.0
